file_id,video_path,align_path,text
bbwm7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwm7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwm7a.align,BIN BLUE WITH M SEVEN AGAIN
bbws8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbws8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbws8n.align,BIN BLUE WITH S EIGHT NOW
bbws9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbws9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbws9s.align,BIN BLUE WITH S NINE SOON
bbwt1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwt1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwt1a.align,BIN BLUE WITH T ONE AGAIN
bbwtzp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwtzp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwtzp.align,BIN BLUE WITH T ZERO PLEASE
bgaa6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgaa6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgaa6n.align,BIN GREEN AT A SIX NOW
bgaa7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgaa7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgaa7s.align,BIN GREEN AT A SEVEN SOON
bgaa8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgaa8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgaa8p.align,BIN GREEN AT A EIGHT PLEASE
bgaa9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgaa9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgaa9a.align,BIN GREEN AT A NINE AGAIN
bgah1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgah1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgah1s.align,BIN GREEN AT H ONE SOON
bgah2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgah2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgah2p.align,BIN GREEN AT H TWO PLEASE
bgah3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgah3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgah3a.align,BIN GREEN AT H THREE AGAIN
bgahzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgahzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgahzn.align,BIN GREEN AT H ZERO NOW
bgan4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgan4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgan4n.align,BIN GREEN AT N FOUR NOW
bgan5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgan5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgan5s.align,BIN GREEN AT N FIVE SOON
bgan6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgan6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgan6p.align,BIN GREEN AT N SIX PLEASE
bgan7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgan7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgan7a.align,BIN GREEN AT N SEVEN AGAIN
bgat8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgat8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgat8n.align,BIN GREEN AT T EIGHT NOW
bgat9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgat9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgat9s.align,BIN GREEN AT T NINE SOON
bgau1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgau1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgau1a.align,BIN GREEN AT U ONE AGAIN
bgauzp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgauzp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgauzp.align,BIN GREEN AT U ZERO PLEASE
bgbb1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbb1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbb1s.align,BIN GREEN BY B ONE SOON
bgbb2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbb2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbb2p.align,BIN GREEN BY B TWO PLEASE
bgbb3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbb3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbb3a.align,BIN GREEN BY B THREE AGAIN
bgbbzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbbzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbbzn.align,BIN GREEN BY B ZERO NOW
bgbh4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbh4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbh4n.align,BIN GREEN BY H FOUR NOW
bgbh5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbh5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbh5s.align,BIN GREEN BY H FIVE SOON
bgbh6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbh6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbh6p.align,BIN GREEN BY H SIX PLEASE
bgbh7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbh7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbh7a.align,BIN GREEN BY H SEVEN AGAIN
bgbn8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbn8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbn8n.align,BIN GREEN BY N EIGHT NOW
bgbn9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbn9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbn9s.align,BIN GREEN BY N NINE SOON
bgbo1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbo1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbo1a.align,BIN GREEN BY O ONE AGAIN
bgbozp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbozp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbozp.align,BIN GREEN BY O ZERO PLEASE
bgbu2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbu2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbu2n.align,BIN GREEN BY U TWO NOW
bgbu3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbu3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbu3s.align,BIN GREEN BY U THREE SOON
bgbu4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbu4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbu4p.align,BIN GREEN BY U FOUR PLEASE
bgbu5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgbu5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgbu5a.align,BIN GREEN BY U FIVE AGAIN
bgia2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgia2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgia2n.align,BIN GREEN IN A TWO NOW
bgia3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgia3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgia3s.align,BIN GREEN IN A THREE SOON
bgia4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgia4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgia4p.align,BIN GREEN IN A FOUR PLEASE
bgia5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgia5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgia5a.align,BIN GREEN IN A FIVE AGAIN
bgig6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgig6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgig6n.align,BIN GREEN IN G SIX NOW
bgig7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgig7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgig7s.align,BIN GREEN IN G SEVEN SOON
bgig8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgig8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgig8p.align,BIN GREEN IN G EIGHT PLEASE
bgig9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgig9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgig9a.align,BIN GREEN IN G NINE AGAIN
bgin1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgin1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgin1s.align,BIN GREEN IN N ONE SOON
bgin2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgin2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgin2p.align,BIN GREEN IN N TWO PLEASE
bgin3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgin3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgin3a.align,BIN GREEN IN N THREE AGAIN
bginzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bginzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bginzn.align,BIN GREEN IN N ZERO NOW
bgit4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgit4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgit4n.align,BIN GREEN IN T FOUR NOW
bgit5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgit5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgit5s.align,BIN GREEN IN T FIVE SOON
bgit6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgit6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgit6p.align,BIN GREEN IN T SIX PLEASE
bgit7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgit7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgit7a.align,BIN GREEN IN T SEVEN AGAIN
bgwb4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwb4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwb4n.align,BIN GREEN WITH B FOUR NOW
bgwb5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwb5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwb5s.align,BIN GREEN WITH B FIVE SOON
bgwb6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwb6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwb6p.align,BIN GREEN WITH B SIX PLEASE
bgwb7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwb7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwb7a.align,BIN GREEN WITH B SEVEN AGAIN
bgwh8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwh8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwh8n.align,BIN GREEN WITH H EIGHT NOW
bgwh9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwh9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwh9s.align,BIN GREEN WITH H NINE SOON
bgwi1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwi1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwi1a.align,BIN GREEN WITH I ONE AGAIN
bgwizp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwizp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwizp.align,BIN GREEN WITH I ZERO PLEASE
bgwo2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwo2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwo2n.align,BIN GREEN WITH O TWO NOW
bgwo3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwo3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwo3s.align,BIN GREEN WITH O THREE SOON
bgwo4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwo4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwo4p.align,BIN GREEN WITH O FOUR PLEASE
bgwo5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwo5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwo5a.align,BIN GREEN WITH O FIVE AGAIN
bgwu6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwu6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwu6n.align,BIN GREEN WITH U SIX NOW
bgwu7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwu7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwu7s.align,BIN GREEN WITH U SEVEN SOON
bgwu8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwu8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwu8p.align,BIN GREEN WITH U EIGHT PLEASE
bgwu9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bgwu9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bgwu9a.align,BIN GREEN WITH U NINE AGAIN
braf8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\braf8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\braf8n.align,BIN RED AT F EIGHT NOW
braf9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\braf9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\braf9s.align,BIN RED AT F NINE SOON
brag1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\brag1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\brag1a.align,BIN RED AT G ONE AGAIN
bragzp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bragzp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bragzp.align,BIN RED AT G ZERO PLEASE
bram2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bram2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bram2n.align,BIN RED AT M TWO NOW
bram3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bram3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bram3s.align,BIN RED AT M THREE SOON
bram4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bram4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bram4p.align,BIN RED AT M FOUR PLEASE
bram5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bram5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bram5a.align,BIN RED AT M FIVE AGAIN
bras6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bras6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bras6n.align,BIN RED AT S SIX NOW
bras7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bras7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bras7s.align,BIN RED AT S SEVEN SOON
bras8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bras8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bras8p.align,BIN RED AT S EIGHT PLEASE
bras9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bras9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bras9a.align,BIN RED AT S NINE AGAIN
